Mouse_ID,Neuron_ID,Model,R²_train,R²_test
Mouse509,Neuron_24,HR,0.13010844976440705,0.13017540579213516
Mouse509,Neuron_24,HRmotion,0.1574605890405546,0.1461117554199196
Mouse509,Neuron_24,all,0.15859839788726443,0.15497274284161544
Mouse509,Neuron_25,motion,0.02374038909134657,0.006860935495812903
Mouse509,Neuron_25,BF,0.0003494625496372583,-0.019334051759869242
Mouse509,Neuron_25,BFmotion,0.024627767680571577,0.018296635048897336
Mouse509,Neuron_25,HR,0.012762472325953334,0.00018483878989117297
Mouse509,Neuron_25,HRmotion,0.02415702657590273,0.010491154324531737
Mouse509,Neuron_25,all,0.02584673606425365,0.026423855379234196
Mouse509,Neuron_26,motion,0.0009751626224536291,0.0023879680346676757
Mouse509,Neuron_26,BF,-6.024719917538945e-05,0.001787130829567385
Mouse509,Neuron_26,BFmotion,0.002880133119518491,0.011589482991136046
Mouse509,Neuron_26,HR,-0.002703993287717221,-0.007606422763318799
Mouse509,Neuron_26,HRmotion,0.001691614431509958,0.003274102913239929
Mouse509,Neuron_26,all,0.0029213742961944787,0.010586309874123567
Mouse509,Neuron_27,motion,0.034160499397323595,-0.07268174459587917
Mouse509,Neuron_27,BF,0.0007625895647676018,-0.003956654319329234
Mouse509,Neuron_27,BFmotion,0.05132521584034504,-0.06530208055004261
Mouse509,Neuron_27,HR,0.008914084831083646,0.018199244379783153
Mouse509,Neuron_27,HRmotion,0.04260664105599539,-0.07522547197549478
Mouse509,Neuron_27,all,0.051112809571490246,-0.06418951277645468
Mouse509,Neuron_28,motion,-0.002695714224670742,-0.05466459255380296
Mouse509,Neuron_28,BF,-0.0028162152456312484,-0.07810582064513838
Mouse509,Neuron_28,BFmotion,0.0020058292128658727,-0.06682198660697236
Mouse509,Neuron_28,HR,-0.0018310471083544445,-0.06499997428841908
Mouse509,Neuron_28,HRmotion,0.000665090587996997,-0.06189229426587861
Mouse509,Neuron_28,all,0.0019058944117755327,-0.061368747469365825
Mouse509,Neuron_29,motion,0.011206391541082428,0.02045266844562521
Mouse509,Neuron_29,BF,0.008083687218454339,0.052304203620830436
Mouse509,Neuron_29,BFmotion,0.015860447844329294,0.0526712302595983
Mouse509,Neuron_29,HR,-0.0013617429891629618,0.0021760182429499952
Mouse509,Neuron_29,HRmotion,0.017373130812179928,-0.021666777353453792
Mouse509,Neuron_29,all,0.03054488681459435,0.02363228379863458
Mouse509,Neuron_30,motion,0.0035515792485912635,0.005507149538937606
Mouse509,Neuron_30,BF,0.0015181151190728048,-0.024280284424810228
Mouse509,Neuron_30,BFmotion,0.006963786671182204,0.023450730277864706
Mouse509,Neuron_30,HR,0.0035548908212927445,-0.026241010729480596
Mouse509,Neuron_30,HRmotion,0.008872426285363711,-0.004577610539171939
Mouse509,Neuron_30,all,0.016640029201459884,0.04184303363622954
Mouse509,Neuron_31,motion,0.1880484021708827,0.24333897333729615
Mouse509,Neuron_31,BF,0.09653200309070231,0.06449922672219677
Mouse509,Neuron_31,BFmotion,0.20423005385009785,0.2485223044597512
Mouse509,Neuron_31,HR,0.23953177637685838,0.22141597175819083
Mouse509,Neuron_31,HRmotion,0.2572959105028386,0.2574441590070191
Mouse509,Neuron_31,all,0.25903639215568297,0.2586200848861374
Mouse509,Neuron_32,motion,0.029611498078784226,0.019529610363306027
Mouse509,Neuron_32,BF,0.07200354304754861,0.08047638967508097
Mouse509,Neuron_32,BFmotion,0.0746576451639229,0.0820221016428605
Mouse509,Neuron_32,HR,0.05724274328964378,0.03403012024414531
Mouse509,Neuron_32,HRmotion,0.06631545837021706,0.037262656202791344
Mouse509,Neuron_32,all,0.09276473355843733,0.08630176103644649
Mouse509,Neuron_33,motion,0.020257475637178345,0.014113607062847255
Mouse509,Neuron_33,BF,0.008356104312009106,-0.02057646306793437
Mouse509,Neuron_33,BFmotion,0.039198609734727954,0.05631637984847193
Mouse509,Neuron_33,HR,0.02440644453492711,-0.06197031049480706
Mouse509,Neuron_33,HRmotion,0.028426719701171943,-0.014960856092692376
Mouse509,Neuron_33,all,0.06980897887922899,0.02100078777078862
Mouse509,Neuron_34,motion,-0.0018004696588328928,0.007990570502114158
Mouse509,Neuron_34,BF,-0.0024526646220057293,0.0022981404123250115
Mouse509,Neuron_34,BFmotion,-0.0014966010001939312,0.01366657449646469
Mouse509,Neuron_34,HR,0.00022840825470480386,0.005734285695274455
Mouse509,Neuron_34,HRmotion,-0.0015863626756202676,0.0052271566785251355
Mouse509,Neuron_34,all,-0.0009052801214038952,0.013418064980491251
Mouse509,Neuron_35,motion,0.01779067129450824,0.006914401043577323
Mouse509,Neuron_35,BF,0.0057229827113525426,-0.001536702092223452
Mouse509,Neuron_35,BFmotion,0.019648037450521884,0.015927703044138597
Mouse509,Neuron_35,HR,0.013827344003284225,-0.004399456560585824
Mouse509,Neuron_35,HRmotion,0.019812403150751945,0.006585378779338624
Mouse509,Neuron_35,all,0.019832872657602318,0.007078902238716989
Mouse509,Neuron_36,motion,0.1238613850386741,0.16000697100704941
Mouse509,Neuron_36,BF,0.14473683234121185,0.2360600886780161
Mouse509,Neuron_36,BFmotion,0.17888733700917508,0.26634281208737176
Mouse509,Neuron_36,HR,0.11177299377846402,0.10081755100529244
Mouse509,Neuron_36,HRmotion,0.157008200577311,0.17573596713386364
Mouse509,Neuron_36,all,0.18983742154952674,0.26020704162222097
Mouse509,Neuron_37,motion,0.10861562722060827,0.14275013903936495
Mouse509,Neuron_37,BF,0.040188931147974616,-0.04756576055229256
Mouse509,Neuron_37,BFmotion,0.15944132559561797,0.11130647788241765
Mouse509,Neuron_37,HR,0.038344099284464736,0.027233975591030468
Mouse509,Neuron_37,HRmotion,0.11942379250577939,0.14169556821260376
Mouse509,Neuron_37,all,0.19872078925603012,0.11345569247764697
Mouse509,Neuron_38,motion,0.04715962924119847,0.03948224361653063
Mouse509,Neuron_38,BF,0.012605367682087842,0.03599191060645013
Mouse509,Neuron_38,BFmotion,0.049177320806514824,0.04925663089865151
Mouse509,Neuron_38,HR,0.06250399175655955,0.06464295033934342
Mouse509,Neuron_38,HRmotion,0.06733231056122284,0.0663020998471352
Mouse509,Neuron_38,all,0.06715168331961383,0.06398989139149414
Mouse509,Neuron_39,motion,-0.0024808215747965656,0.01592448682453962
Mouse509,Neuron_39,BF,0.005641803526296641,0.011916805442026224
Mouse509,Neuron_39,BFmotion,0.0019025364839374338,0.018382476071614584
Mouse509,Neuron_39,HR,0.0014516232590173982,-0.0023608695345984643
Mouse509,Neuron_39,HRmotion,-0.0006511627414137911,0.011358755550486266
Mouse509,Neuron_39,all,0.001132540020773054,0.004224986276861187
Mouse509,Neuron_40,motion,0.028763828024870496,0.060977103761703066
Mouse509,Neuron_40,BF,0.04417858970991147,0.01532339897679691
Mouse509,Neuron_40,BFmotion,0.051544347084139665,0.05328874342756451
Mouse509,Neuron_40,HR,0.008157136065043247,-0.03205342151472479
Mouse509,Neuron_40,HRmotion,0.03322467265460509,0.051221273039728676
Mouse509,Neuron_40,all,0.05223314823217036,0.03370801665312084
Mouse509,Neuron_41,motion,0.033913726419462734,-0.014665692102385552
Mouse509,Neuron_41,BF,0.009442280623710308,0.024763189504227734
Mouse509,Neuron_41,BFmotion,0.036608816527744704,-0.007333897468848827
Mouse509,Neuron_41,HR,0.013145311333616006,0.02545907853082019
Mouse509,Neuron_41,HRmotion,0.03792487493288739,-0.016640695962657936
Mouse509,Neuron_41,all,0.03766419012024367,-0.017485548400463458
Mouse509,Neuron_42,motion,0.20839243439205912,0.33015921863505016
Mouse509,Neuron_42,BF,2.104032526875077e-05,0.007331067918062373
Mouse509,Neuron_42,BFmotion,0.20967805111328475,0.3297217227814898
Mouse509,Neuron_42,HR,0.06752775727678528,0.09059808629278698
Mouse509,Neuron_42,HRmotion,0.20991444217440874,0.3242838192384866
Mouse509,Neuron_42,all,0.21033862901672826,0.319998894393408
Mouse509,Neuron_43,motion,0.06812052739669058,0.0318431893570289
Mouse509,Neuron_43,BF,0.0583381555614787,0.04355050238324287
Mouse509,Neuron_43,BFmotion,0.09018257788102335,0.04682371533121599
Mouse509,Neuron_43,HR,0.05142413156208396,0.05796379230989224
Mouse509,Neuron_43,HRmotion,0.07532997862008495,0.04571285056974361
Mouse509,Neuron_43,all,0.09745281852417605,0.08199659104839419
Mouse509,Neuron_44,motion,0.005704746382896886,-0.012660228661529604
Mouse509,Neuron_44,BF,0.0009589375668716648,-0.005813232795852663
Mouse509,Neuron_44,BFmotion,0.00858199206765502,-0.01757647277020391
Mouse509,Neuron_44,HR,0.0006956761959580505,0.0055834998349636455
Mouse509,Neuron_44,HRmotion,0.007717939398984486,-0.001053090785065658
Mouse509,Neuron_44,all,0.008933788414550458,-0.011440971456791127
Mouse509,Neuron_45,motion,0.3537801949429995,0.40145931804283086
Mouse509,Neuron_45,BF,0.27041886681127086,0.23655365588010857
Mouse509,Neuron_45,BFmotion,0.43566291465522455,0.4636143506092685
Mouse509,Neuron_45,HR,0.4243690294376945,0.2760322614082015
Mouse509,Neuron_45,HRmotion,0.4782789706170879,0.38533757578892425
Mouse509,Neuron_45,all,0.5111133150456325,0.4299788284371149
Mouse509,Neuron_46,motion,0.004049355441561486,0.009591716053619082
Mouse509,Neuron_46,BF,0.01986733476831879,0.021643616272652877
Mouse509,Neuron_46,BFmotion,0.021127111248998666,0.02956531151921593
Mouse509,Neuron_46,HR,0.011996100918371267,0.02562651495152668
Mouse509,Neuron_46,HRmotion,0.011528565341328002,0.023377680977318405
Mouse509,Neuron_46,all,0.0255849911268367,0.03836437949918725
Mouse509,Neuron_47,motion,-0.006866134290177017,0.027234956102900387
Mouse509,Neuron_47,BF,0.000618115423404908,-0.049401175659669505
Mouse509,Neuron_47,BFmotion,0.016225629939455977,-0.03671499778585541
Mouse509,Neuron_47,HR,0.012533180543533473,0.008690350650557233
Mouse509,Neuron_47,HRmotion,0.013024546546924665,0.013411760006866946
